Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
1,1,2023,1,7,139.04,207.88,10.73,2.98,0.99,41.19,281
2,1,2023,0,1,202.79,297.92,11.52,3.08,1.17,48.45,327
3,1,2023,0,2,233.25,368.79,11.94,7.57,0.95,47.16,384
4,1,2023,0,3,171.19,266.21,9.66,3.48,0.96,41.98,341
5,1,2023,0,4,163.96,274.04,13.22,8.45,1.11,38.09,318
6,1,2023,0,5,213.63,628.17,14.68,9.41,1.2,45.34,365
7,1,2023,0,6,200.6,1000.0,13.16,15.77,1.15,41.66,500
8,1,2023,1,7,232.78,869.48,9.26,5.16,1.52,50.96,500
9,1,2023,0,1,250.18,377.71,11.19,5.84,2.31,57.32,412
10,1,2023,0,2,168.18,273.41,12.36,4.46,1.23,13.06,236
11,1,2023,0,3,189.83,310.04,16.15,4.9,1.17,10.61,288
12,1,2023,0,4,227.38,356.05,15.18,8.87,1.63,12.0,400
13,1,2023,0,5,225.92,340.05,16.07,5.8,1.68,11.22,388
14,1,2023,0,6,146.21,237.45,6.72,4.05,0.65,19.31,337
15,1,2023,1,7,107.33,193.54,9.47,4.0,0.45,16.35,233
16,1,2023,0,1,162.29,270.4,13.45,5.42,0.76,18.87,285
17,1,2023,0,2,151.71,249.14,13.4,5.6,0.87,17.38,289
18,1,2023,0,3,199.0,327.3,15.06,6.29,1.42,12.66,302
19,1,2023,0,4,191.79,313.42,16.98,12.14,1.25,15.73,337
20,1,2023,0,5,81.13,159.68,9.12,9.95,0.7,18.33,196
21,1,2023,0,6,217.29,342.69,19.29,6.89,1.5,10.49,305
22,1,2023,1,7,254.46,392.36,13.55,8.77,1.53,17.28,411
23,1,2023,0,1,160.63,273.19,15.09,7.26,1.19,13.34,335
24,1,2023,0,2,94.94,193.3,15.85,6.38,1.05,9.13,242
25,1,2023,0,3,95.75,198.95,9.43,5.96,1.16,5.31,181
26,1,2023,1,4,80.56,204.28,4.31,5.5,0.84,9.49,174
27,1,2023,0,5,60.43,151.75,5.85,6.42,0.68,19.37,143
28,1,2023,0,6,86.36,211.73,8.74,7.04,0.87,14.72,157
29,1,2023,1,7,108.45,274.83,18.08,6.67,1.83,2.7,255
