Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
1,1,2021,0,5,408.8,442.42,160.61,12.95,2.77,43.19,462
2,1,2021,0,6,404.04,561.95,52.85,5.18,2.6,16.43,482
3,1,2021,1,7,225.07,239.04,170.95,10.93,1.4,44.29,263
4,1,2021,0,1,89.55,132.08,153.98,10.42,1.01,49.19,207
5,1,2021,0,2,54.06,55.54,122.66,9.7,0.64,48.88,149
6,1,2021,0,3,155.59,180.14,142.71,10.29,1.18,44.47,252
7,1,2021,0,4,118.39,131.18,98.87,9.81,0.73,48.6,288
8,1,2021,0,5,140.05,184.29,102.61,10.34,0.79,43.06,248
9,1,2021,0,6,144.01,192.43,108.43,10.41,0.85,42.23,326
10,1,2021,1,7,131.57,180.38,93.31,9.92,0.69,51.96,284
11,1,2021,0,1,135.92,208.99,105.07,10.49,0.75,55.06,281
12,1,2021,0,2,172.48,220.74,111.52,10.21,0.91,41.69,329
13,1,2021,0,3,224.71,330.04,125.83,7.27,1.22,31.49,378
14,1,2021,0,4,345.82,417.42,142.59,8.49,1.75,32.11,422
15,1,2021,0,5,462.62,517.76,178.15,10.11,2.51,25.81,456
16,1,2021,0,6,185.66,230.76,124.98,7.39,1.65,27.53,388
17,1,2021,1,7,222.01,249.23,136.15,9.56,1.4,36.8,342
18,1,2021,0,1,232.16,318.1,210.31,14.92,1.32,28.17,401
19,1,2021,0,2,227.93,299.28,185.82,12.98,1.69,23.02,400
20,1,2021,0,3,159.91,193.78,142.41,7.45,0.88,31.96,322
21,1,2021,0,4,182.39,243.84,276.46,5.6,1.5,33.7,328
22,1,2021,0,5,310.98,358.0,181.5,4.4,2.29,26.88,412
23,1,2021,0,6,170.36,213.65,143.41,4.06,0.75,34.18,362
24,1,2021,1,7,230.38,287.86,123.99,3.05,0.81,27.77,370
25,1,2021,0,1,186.34,311.67,17.33,6.28,1.25,25.82,345
26,1,2021,1,2,207.46,344.53,21.93,9.03,1.34,26.24,369
27,1,2021,0,3,216.71,397.43,34.5,7.94,1.23,24.33,371
28,1,2021,0,4,294.71,496.55,40.31,9.89,1.9,26.13,373
29,1,2021,0,5,301.61,396.57,118.81,4.94,2.28,21.55,440
30,1,2021,0,6,209.05,306.17,99.31,4.76,1.46,30.8,363
31,1,2021,1,7,222.87,323.33,123.23,4.43,2.06,26.95,368
1,2,2021,0,1,285.13,398.91,117.62,4.76,2.09,30.4,400
2,2,2021,0,2,304.79,416.62,127.92,6.06,2.5,24.16,408
3,2,2021,0,3,209.32,299.0,159.84,3.83,1.92,28.02,367
4,2,2021,0,4,134.66,170.25,114.15,3.13,1.04,36.53,352
5,2,2021,0,5,68.49,116.65,113.61,3.82,0.72,30.54,142
6,2,2021,0,6,131.68,182.92,102.59,5.08,0.85,34.79,261
